transaction_id,agency,transaction_type,vendor_or_employee,amount,transaction_date,status,error_flag,anomaly
300,Health,Inspection,Ruiz and Sons,1660.53,2025-04-30,Approved,False,-1
424,Defense,Procurement,King LLC,981.0,2025-07-29,Rejected,False,-1
499,Defense,Inspection,Roberts-Wells,1435.5,2025-10-09,Approved,False,-1
541,Defense,Inspection,Garcia PLC,1605.64,2024-09-15,Rejected,False,-1
588,Defense,Benefits,Palmer Ltd,273.36,2024-09-07,Pending,False,-1
829,Education,Inspection,Rhodes-Perry,137.43,2024-11-28,Approved,False,-1
1090,Defense,Benefits,Griffin Ltd,498754.04,2024-10-15,Approved,False,-1
1181,Defense,Payroll,"Spencer, Sullivan and Dunn",499474.32,2024-12-09,Pending,False,-1
1236,Transportation,Benefits,Perez-Rodriguez,2135.96,2025-09-10,Pending,False,-1
1239,Defense,Inspection,Phelps LLC,1062.09,2024-11-09,Pending,False,-1
1321,Transportation,Payroll,Love-Cox,499180.61,2024-03-04,Approved,False,-1
1445,Defense,Benefits,Jensen Group,2489.51,2025-12-08,Rejected,False,-1
1480,Health,Procurement,Fleming-Hoover,2634.0,2025-02-24,Pending,False,-1
1512,Defense,Benefits,Obrien-Brandt,1798.8,2025-09-04,Approved,False,-1
1557,Health,Procurement,"Acosta, Reed and Graves",499357.49,2024-12-31,Approved,False,-1
1563,Health,Payroll,"Campbell, Lewis and Vargas",2273.55,2024-02-20,Rejected,False,-1
1685,Defense,Procurement,Lawrence PLC,233.28,2024-04-14,Approved,False,-1
1786,Health,Procurement,"Davis, Henson and Thomas",2523.86,2024-10-30,Pending,False,-1
1814,Education,Payroll,Hester-Smith,499662.81,2024-03-21,Pending,False,-1
1829,Transportation,Inspection,Abbott Inc,499338.6,2024-12-16,Pending,False,-1
2056,Defense,Procurement,Jones Group,498431.48,2024-10-03,Rejected,False,-1
2220,Transportation,Procurement,Blake Inc,499210.38,2024-06-19,Pending,False,-1
2259,Defense,Procurement,Bishop PLC,2735.54,2024-11-14,Approved,False,-1
2333,Education,Payroll,Marsh Group,3133.31,2024-04-25,Approved,False,-1
2361,Transportation,Procurement,Frazier Ltd,498189.73,2025-01-27,Approved,False,-1
2548,Health,Inspection,"Mcdaniel, King and Walker",498592.78,2024-10-18,Approved,False,-1
2554,Health,Procurement,Murphy and Sons,1584.1,2024-06-15,Pending,False,-1
2570,Health,Procurement,"Williams, Chambers and Frederick",498208.19,2025-05-13,Rejected,False,-1
2642,Transportation,Inspection,"Potter, Thompson and Delgado",498805.63,2024-05-13,Pending,False,-1
2742,Health,Payroll,"Schultz, Reilly and Hodges",498215.85,2024-02-25,Rejected,False,-1
2748,Transportation,Payroll,"Palmer, Neal and Owens",497892.49,2025-07-21,Rejected,False,-1
2832,Education,Benefits,Lane-Long,2854.0,2024-08-01,Rejected,False,-1
2841,Transportation,Inspection,"Curtis, Gomez and Stone",1544.8,2025-04-11,Rejected,False,-1
2860,Education,Inspection,Fitzgerald Ltd,1729.76,2024-07-28,Rejected,False,-1
2966,Defense,Payroll,Fletcher-Hopkins,499790.31,2025-03-02,Approved,False,-1
3003,Transportation,Payroll,Hughes-Hurley,2405.79,2025-09-07,Approved,False,-1
