transaction_id,agency,transaction_type,vendor_or_employee,amount,transaction_date,status,error_flag,is_anomaly,anomaly,approved_budget,budget_vs_actual_mismatch,budget_mismatch_flag,transaction_year,total_suspicious_transactions_kpi,total_estimated_financial_risk_kpi,average_suspicious_transaction_kpi
45703,Defense,Procurement,"Scott, Smith and Hunt",37875.81,2025-08-04,Rejected,False,0,,38275.41840031999,-399.60840031999396,False,2025,4976,1031550789.66,207305.22
392172,Defense,Payroll,"Phillips, Kelley and Reyes",273671.03,2024-07-11,Approved,False,0,,305828.97012590594,-32157.94012590591,False,2024,4976,1031550789.66,207305.22
316984,Health,Payroll,"Singh, Lopez and Webb",279886.89,2024-12-20,Pending,False,0,,313536.6607670369,-33649.77076703688,False,2024,4976,1031550789.66,207305.22
167994,Transportation,Benefits,"Lopez, Walker and Lewis",40905.53,2025-12-31,Pending,False,0,,42428.930526286786,-1523.4005262867868,False,2025,4976,1031550789.66,207305.22
440339,Transportation,Benefits,"Perry, Harvey and Taylor",164103.32,2025-01-18,Approved,False,0,,165772.51245593824,-1669.1924559382314,False,2025,4976,1031550789.66,207305.22
480691,Health,Payroll,Sullivan Ltd,467299.9,2024-05-26,Pending,False,0,,534385.348404071,-67085.44840407092,False,2024,4976,1031550789.66,207305.22
135653,Transportation,Payroll,Tate-Johnson,452976.5,2025-11-17,Approved,False,0,,449291.33015969914,3685.169840300863,False,2025,4976,1031550789.66,207305.22
88134,Education,Payroll,"Hernandez, Myers and Cook",87655.45,2025-02-02,Pending,False,0,,91327.434821265,-3671.984821264996,False,2025,4976,1031550789.66,207305.22
133075,Defense,Procurement,Norton-Montgomery,359127.61,2024-08-01,Approved,False,0,,357372.31589125574,1755.294108744245,False,2024,4976,1031550789.66,207305.22
154685,Health,Inspection,Thompson-Garcia,280333.88,2024-03-14,Rejected,False,0,,289949.20032727625,-9615.320327276248,False,2024,4976,1031550789.66,207305.22
409159,Education,Inspection,Gordon-Turner,28790.22,2024-03-16,Rejected,False,0,,28833.43542231981,-43.21542231980857,False,2024,4976,1031550789.66,207305.22
435779,Defense,Benefits,"Garza, Thomas and Smith",241245.63,2025-11-08,Rejected,False,0,,234886.2783958405,6359.351604159514,False,2025,4976,1031550789.66,207305.22
56265,Transportation,Payroll,Lucero PLC,304951.92,2025-11-22,Pending,False,0,,285174.9007168481,19777.019283151894,False,2025,4976,1031550789.66,207305.22
129871,Transportation,Payroll,Graham-Bradley,98676.39,2025-05-10,Approved,False,0,,90302.20172368415,8374.18827631585,False,2025,4976,1031550789.66,207305.22
493178,Defense,Payroll,"Ellison, Castillo and Morales",180165.52,2024-06-03,Rejected,False,0,,184919.64903810353,-4754.129038103536,False,2024,4976,1031550789.66,207305.22
